,freq,,,freq
university,253,,computer,84
of,183,,science,73
school,61,,engineering,58
institute,38,,and,51
-,30,,electrical,19
technology,30,,business,19
stanford,28,,&,18
business,27,,management,18
the,26,,economics,17
state,26,,mechanical,14
college,21,,mathematics,13
at,17,,finance,12
massachusetts,15,,information,12
universität,14,,technology,10
high,14,,accounting,9
"california,",11,,physics,8
technische,11,,systems,8
and,10,,"science,",8
münchen,9,,studies,8
harvard,9,,international,7
new,9,,political,6
mellon,8,,"management,",6
pennsylvania,8,,administration,5
"technology,",8,,general,5
carnegie,8,,applied,5
indian,8,,software,4
utah,7,,chemical,4
michigan,7,,marketing,4
management,7,,"finance,",4
berkeley,7,,in,4
ecole,7,,environmental,4
combinator,7,,communications,4
y,7,,law,4
washington,7,,major:,3
wharton,7,,psychology,3
york,7,,"engineering,",3
paris,7,,strategy,3
texas,6,,cum,3
delhi,6,,data,3
eth,6,,"marketing,",3
for,6,,design,3
de,6,,robotics,3
institut,6,,"economics,",3
indiana,5,,visual,3
colorado,5,,entrepreneurship,3
center,5,,civil,3
georgia,5,,program,2
urbana-champaign,5,,concentration,2
illinois,5,,spanish,2
(kit),4,,philosophy,2
université,4,,operations,2
supérieure,4,,english,2
digital,4,,research,2
austin,4,,electronics,2
technologie,4,,wirtschaftswissenschaften,2
für,4,,biomedical,2
science,4,,double,2
karlsruher,4,,telematics,2
israel,4,,math,2
bentley,4,,mit,2
polytechnic,4,,physik,2
boston,4,,computing,2
zürich,4,,cognitive,2
cambridge,4,,markets,2
brigham,3,,with,2
louisville,3,,minor:,2
graduate,3,,artificial,2
david,3,,sciences,2
eccles,3,,history,2
normale,3,,-,2
aalto,3,,"electrical,",2
national,3,,"mathematics,",2
technical,3,,"technology,",2
sciences,3,,ee,2
denver,3,,linguistic,1
american,3,,école,1
zurich,3,,sloan,1
london,3,,csail,1
/,3,,intelligence:,1
rensselaer,3,,implications,1
des,3,,for,1
technion,3,,actuarial,1
yale,3,,tietotekniikan,1
warwick,3,,moral,1
young,3,,capital,1
technological,3,,venture,1
law,3,,social,1
international,3,,d'ingénieur,1
california,3,,industrial,1
mccombs,2,,automation,1
kanpur,2,,enterprise,1
1,2,,"psychology,",1
seattle,2,,d.school,1
pacific,2,,perustutkinto,1
herzliya,2,,/,1
idc,2,,maschinenbau,1
panthéon-sorbonne,2,,arts,1
dublin,2,,assurance,1
mainz,2,,energy,1
mysore,2,,honors,
pomona,2,,automotive,1
po,2,,asian,1
drexel,2,,laude,
duke,2,,writing/director,1
academy,2,,development,1
lake,2,,corporate,1
park,2,,materialwissenschaften,1
insead,2,,cultural,1
northeastern,2,,"anthropology,",1
haas,2,,magna,1
vanderbilt,2,,control,1
la,2,,finance,
lomonosov,2,,ylioppilastutkinto,1
moscow,2,,msc,1
(msu),2,,eth,1
western,2,,programming,1
puget,2,,business/corporate,1
amsterdam,2,,languages,1
missouri-columbia,2,,sustainability,1
madras,2,,economie,1
bombay,2,,betriebswirtschaftslehre,1
lycée,2,,et,1
centrale,2,,certificate,1
arkansas,2,,politics,1
sound,2,,department,1
joensuun,2,,"honours,",1
red,2,,ai,1
john,2,,media,1
"university,",2,,biology/pre-medicine,1
columbia,2,,publiques,1
binghamton,2,,portuguese,1
community,2,,communication,1
buffalo,2,,bsc,1
florida,2,,(hons),1
sloan,2,,long,1
city,2,,term,1
georgetown,2,,negotiations,1
george,2,,commerce,1
julius-maximilians-universität,2,,literature,1
brown,2,,"systems,",1
würzburg,2,,none,1
engineering,2,,accounts,1
in,2,,statistics,1
wisconsin-madison,2,,science,
"school,",2,,"physics,",1
santa,2,,consulting,1
cornell,2,,electronic,1
kutztown,1,,programación,1
alvernia,1,,"informática,",1
queensland,1,,aplicaciones,1
taylor,1,,específicas,1
korkeakoulu-tekniska,1,,mis,1
cheltenham,1,,service,1
högskolan,1,,intelligence,1
"oppimiskeskus,",1,,services,1
tepper,1,,it,1
scit,1,,support,1
symbiosis,1,,analyse,1
helsinki,1,,économique,1
centre,1,,related,1
shippensburg,1,,des,1
"berkeley,",1,,"business,",1
teknillinen,1,,décisions,1
(lse),1,,entrepreneurship/entrepreneurial,1
information,1,,"#1,",1
bangalore,1,,healthcare,1
barbara,1,,protection,
political,1,,"sociology,",1
emory,1,,pre-law,1
goizueta,1,,sciense,1
institute:,1,,laude,1
munich,1,,food,1
st.gallen,1,,preparation/professional,1
economics,1,,cooking/kitchen,1
ramarao,1,,assistant,1
adik,1,,graphic,1
konstanz,1,,security,
temple,1,,medicin,1
lausanne,1,,cloud,1
salle,1,,architecture,1
penn,1,,private,1
fédérale,1,,"law,",1
polytechnique,1,,jura,1
connecticut,1,,hci,1
dayton,1,,ethics,1
göttingen,1,,engineering-economic,1
actuaires,1,,sports,1
cnam,1,,producing,1
nationale,1,,business/economics,1
télécommunications,1,,dual,1
lyseon,1,,miller,1
telecom,1,,leadership,1
solvay,1,,minor,1
lukion,1,,"language,",1
brandeis,1,,french,1
greenwich,1,,sport,1
maryland,1,,"emphasis,",1
aikuislinja,1,,w/pr,1
georg-august-universität,1,,affairs,1
san,1,,arjay,1
olympus,1,,scholar,1
degree,1,,rechtswissenschaften,1
name,1,,bioinformatics,1
louis-le-grand,1,,mass,1
zagreb,1,,astrophysics,1
oxford,1,,wirtschaftsingenieurwesen,1
darmstadt,1,,informationswirtschaft,1
technology(rait),1,,"jura,",1
india,1,,"politik,",1
jose,1,,geschichte,1
et,1,,rechtwissenschaften,1
,1,,linguistics,1
weber,1,,specialization,1
central,1,,strategic,1
st.,1,,agriculture,1
vianney,1,,und,1
"sjce,",1,,informationstechnik,1
stockton,1,,"eee,",1
lappeenranta,1,,summa,1
imd,1,,"laude,",1
innovation,1,,ranked,1
d'ottawa,1,,innovation,1
ottawa,1,,gold,1
bordeaux,1,,medallist,1
"kyoto,",1,,neuroscience,1
japan,1,,learning,1
former,1,,psychonomics,1
head,1,,biological,1
adobe,1,,dropped,1
amherst,1,,out,1
대원고등학교,1,,after,1
accountants,1,,one,1
work,1,,year,1
인창중학교,1,,distinction,
cost,1,,neurobiology,1
tiruchirappalli,1,,mechatronik,1
금화국민학교,1,,machine,1
&,1,,engineering.,1
staffordshire,1,,aka,1
loxford,1,,learned,1
u.,1,,how,1
westfield,1,,to,1
"mary,",1,,make,1
queen,1,,something,1
communication,1,,that,1
l'information,1,,people,1
arlington,1,,want,1
en,1,,:),1
valley,1,,product,1
waubonsie,1,,science),1
louis,1,,sales,1
rutgers,1,,economics-finance,1
jalisco,1,,informatics,1
tecnológica,1,,computation,1
universidad,1,,materials,1
"madrid,",1,,relations,1
spain,1,,economics.,1
bradley,1,,financial,1
miami,1,,(and,1
brentwood,1,,3.8/4.0,1
seoul,1,,,
jiao,1,,,
shanghai,1,,,
hamburg,1,,,
a&m,1,,,
clausthal,1,,,
marymount,1,,,
études,1,,,
hautes,1,,,
southern,1,,,
marshall,1,,,
celsa,1,,,
loyola,1,,,
saint,1,,,
cologne,1,,,
otago,1,,,
bryant,1,,,
medici,1,,,
de',1,,,
lorenzo,1,,,
tsinghua,1,,,
tong,1,,,
melbourne,1,,,
heights,1,,,
middlesex,1,,,
middlebury,1,,,
punahou,1,,,
film,1,,,
rice,1,,,
universitet,1,,,
lunds,1,,,
groningen,1,,,
usa,1,,,
"boston,",1,,,
natick,1,,,
lund,1,,,
justiz,1,,,
der,1,,,
staatsministerium,1,,,
bayer.,1,,,
government,1,,,
kennedy,1,,,
oregon,1,,,
athens,1,,,
alamo,1,,,
educational,1,,,
view,1,,,
mountain,1,,,
terenure,1,,,
gutenberg-universität,1,,,
johannes,1,,,
xii),1,,,
(paris,1,,,
val-de-marne,1,,,
münster,1,,,
design,1,,,
art,1,,,
culinary,1,,,
yaffo,1,,,
"tel-aviv,",1,,,
academic,1,,,
open,1,,,
crete,1,,,
f.,1,,,
stern,1,,,
nyu,1,,,
angeles,1,,,
tech,1,,,
virginia,1,,,
ohio,1,,,
clara,1,,,
karlsruhe,1,,,
european,1,,,
england,1,,,
politiques,1,,,
d'etudes,1,,,
irvine,1,,,
ontario,1,,,
engineers,1,,,
professional,1,,,
"toronto,",1,,,
missouri-rolla,1,,,
brook,1,,,
stony,1,,,
visvesvaraya,1,,,
cfa,1,,,
scott,1,,,
lynbrook,1,,,
los,1,,,
arizona,1,,,
toronto,1,,,
ingolstadt,1,,,
gymnasium,1,,,
katharinen,1,,,
hagen,1,,,
davis,1,,,
danville,1,,,
medicine,1,,,
hopkins,1,,,
johns,1,,,
dame,1,,,
notre,1,,,
idaho,1,,,
birla,1,,,
babson,1,,,
wofford,1,,,
bloomington,1,,,
aveiro,1,,,
eckerd,1,,,
a.,1,,,
walter,1,,,
bucharest,1,,,
politehnica,1,,,
ross,1,,,
m.,1,,,
stephen,1,,,
mexico,1,,,
global,1,,,
thunderbird,1,,,
palmer,1,,,
lewis,1,,,
metropolitan,1,,,
tianjin,1,,,
music,1,,,
berklee,1,,,
pune,1,,,
computer,1,,,
trinity,1,,,
elkin,1,,,
kenan-flagler,1,,,
hill,1,,,
chapel,1,,,
carolina,1,,,
north,1,,,
mccallum,1,,,
b.,1,,,
fairbanks,1,,,
highland,1,,,
alaska,1,,,
salt,1,,,
forest,1,,,
flashpoint,1,,,
tribeca,1,,,
booth,1,,,
chicago,1,,,
bar-ilan,1,,,
universidade,1,,,
university–purdue,1,,,
buckley,1,,,
berlin,1,,,
freie,1,,,
mannheim,1,,,
princeton,1,,,
farmington,1,,,
maine,1,,,
bay,1,,,
wisconsin-green,1,,,
northwestern,1,,,
taft,1,,,
jefferson,1,,,
thomas,1,,,
gurion,1,,,
ben,1,,,
ball,1,,,
kelley,1,,,
indianapolis,1,,,
izhevsk,1,,,
(istu),1,,,
"""kharkiv",1,,,
aux,1,,,
wales,1,,,
south,1,,,
edinburgh,1,,,
colby,1,,,
uw-milwaukee,1,,,
ecoles,1,,,
grandes,1,,,
préparatoires,1,,,
"institute""",1,,,
classes,1,,,
paris-saclay,1,,,
école,1,,,
iv,1,,,
henri,1,,,
#45,1,,,
ag,1,,,
tufts,1,,,
